district,k,seed,timesteps,eval_reward,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,policy_gradient_loss,value_loss,baseline,eval_delta
노원구,3,123,20000.0,-405.0476685030248,1.872330904006958e-05,0.0,0.1,-0.7848233938217163,0.02970433235168457,0.0001,130.710693359375,-0.0005269352579489351,245.2829376220703,-457.180474730789,52.132806227764206
노원구,3,123,40000.0,-431.3334622630601,6.740156095474958e-05,0.0,0.1,-0.7838646054267884,0.12738484144210815,0.0001,19.852113723754883,-0.0008000180125236512,50.76018180847168,-457.180474730789,25.847012467728916
노원구,3,123,60000.0,-431.3334622630601,8.804374374449253e-05,0.0,0.1,-0.3212844729423523,0.8170099258422852,0.0001,16.203205108642578,-0.000492958864197135,43.88350639343262,-457.180474730789,25.847012467728916
노원구,3,123,80000.0,-431.3334622630601,0.0015762748662382364,0.009375,0.1,-0.698961615562439,0.8873361349105835,0.0001,11.75403881072998,-0.004693474899977445,25.66356678009033,-457.180474730789,25.847012467728916
노원구,3,123,100000.0,-414.034837555122,0.00012105097994208336,0.0,0.1,-0.5454566597938537,0.5673086047172546,0.0001,187.9296417236328,-0.0012106379494071008,338.4148742675781,-457.180474730789,43.14563717566699
노원구,3,123,120000.0,-405.12600253601073,0.0003478013095445931,0.0,0.1,-0.4790406137704849,0.9028722643852234,0.0001,9.504955291748047,-0.0002986024133861065,28.16061611175537,-457.180474730789,52.05447219477827
노원구,3,123,140000.0,-405.12600253601073,1.4283577911555767e-06,0.0,0.1,-0.4966651350259781,0.5169029235839844,0.0001,518.55859375,-8.001625537872315e-05,1193.3871032714844,-457.180474730789,52.05447219477827
노원구,3,123,160000.0,-405.12600253601073,1.7776095774024725e-05,0.0,0.1,-0.5039224803447724,0.0018927454948425293,0.0001,4771.0625,0.00037649432197213174,8580.077099609374,-457.180474730789,52.05447219477827
노원구,3,123,170000.0,-405.12600253601073,4.472440923564136e-05,0.0,0.1,-0.3225830167531967,0.30720245838165283,0.0001,647.962890625,-0.00024164402857422828,1185.7625,-457.180474730789,52.05447219477827
노원구,3,42,20000.0,-430.48561976414857,0.00017786212265491486,0.0,0.1,-0.6334112107753753,0.0037784576416015625,0.0001,25.357864379882812,-0.0009472144767642022,50.75150375366211,-457.180474730789,26.694854966640435
노원구,3,42,40000.0,-447.4015056668737,0.00040548830293118954,0.0,0.1,-0.7871439754962921,0.7437946796417236,0.0001,20.673343658447266,-0.0016555368900299072,45.69296646118164,-457.180474730789,9.778969063915326
노원구,3,42,60000.0,-452.0446716675524,5.391426384449005e-06,0.0,0.1,-0.9925541698932647,0.6590639352798462,0.0001,169.93907165527344,-7.601073011755943e-05,374.8787475585938,-457.180474730789,5.135803063236608
노원구,3,42,80000.0,-459.61999586139126,1.2056436389684677e-05,0.0,0.1,-0.97408527135849,0.5888696908950806,0.0001,722.4641723632812,-0.00020336629822850227,1634.0761474609376,-457.180474730789,-2.439521130602259
노원구,3,42,100000.0,-425.3868801739055,6.379792466759682e-06,0.0,0.1,-0.9001837909221649,0.8178134560585022,0.0001,75.63526916503906,-0.0002799713984131813,171.73566131591798,-457.180474730789,31.793594556883477
노원구,3,42,120000.0,-462.3654148917882,5.670194514095783e-05,0.0,0.1,-0.7983292281627655,0.8772109150886536,0.0001,37.939273834228516,-0.00045924317091703413,98.74468994140625,-457.180474730789,-5.18494016099919
노원구,3,42,140000.0,-458.4821977905478,2.6866327971220016e-06,0.0,0.1,-0.592997568845749,0.7829775810241699,0.0001,55.82670974731445,-8.297627791762353e-05,137.25573806762696,-457.180474730789,-1.3017230597587854
노원구,3,42,160000.0,-458.46384458964434,4.912912845611572e-05,0.0,0.1,-0.6069094479084015,0.7493998408317566,0.0001,59.47788619995117,-0.0004374573938548565,135.25441818237306,-457.180474730789,-1.2833698588553375
노원구,3,42,170000.0,-419.37322754155105,6.978132296353579e-05,0.0,0.1,-0.7199023187160491,0.9394348859786987,0.0001,21.2080020904541,-0.0003244800493121147,67.30740623474121,-457.180474730789,37.807247189237955
노원구,3,777,20000.0,-430.0683911429895,5.270121619105339e-07,0.0,0.1,-0.912355238199234,0.0147666335105896,0.0001,798.6160888671875,-2.663685008883476e-05,1678.361279296875,-457.180474730789,27.112083587799475
노원구,3,777,40000.0,-430.0683911429895,3.7474092096090317e-07,0.0,0.1,-0.7355279207229615,0.07894521951675415,0.0001,298.6175231933594,-8.710408583283425e-05,548.8928955078125,-457.180474730789,27.112083587799475
노원구,3,777,60000.0,-430.0683911429895,1.9065337255597115e-05,0.0,0.1,-0.7372932493686676,0.34017425775527954,0.0001,144.1736602783203,-0.0005177643150091171,337.4374237060547,-457.180474730789,27.112083587799475
노원구,3,777,80000.0,-430.0683911429895,1.78235350176692e-05,0.0,0.1,-0.730780303478241,0.2826113700866699,0.0001,449.4568786621094,-0.0003839663229882717,820.8594543457032,-457.180474730789,27.112083587799475
노원구,3,777,100000.0,-429.7356709839901,8.937623351812363e-05,0.0,0.1,-1.0785467743873596,0.5815668702125549,0.0001,141.9964141845703,-0.0009363655000925065,285.3677291870117,-457.180474730789,27.444803746798925
노원구,3,777,120000.0,-459.4442503147606,8.478527888655663e-06,0.0,0.1,-0.7209863364696503,0.6763190627098083,0.0001,24.283714294433594,-0.00021437602117657661,65.85842094421386,-457.180474730789,-2.263775583971608
노원구,3,777,140000.0,-440.7798838489901,1.7657876014709473e-06,0.0,0.1,-0.7921030163764954,0.5033056735992432,0.0001,1104.889404296875,-5.371728911995888e-05,2091.312841796875,-457.180474730789,16.400590881798905
노원구,3,777,160000.0,-459.895765785849,6.247777491807938e-06,0.0,0.1,-0.6199899971485138,0.6233927011489868,0.0001,894.8483276367188,-0.00025919955223798754,1641.074169921875,-457.180474730789,-2.7152910550599927
노원구,3,777,170000.0,-432.12538550053375,0.00016073998995125294,0.0,0.1,-0.8232735991477966,0.6708753108978271,0.0001,861.6214599609375,-0.0004496308043599129,1780.0742309570312,-457.180474730789,25.05508923025525
동대문구,3,123,20000.0,-341.28582303672374,3.507465589791536e-05,0.0,0.1,-0.7631587624549866,0.0034359097480773926,0.0001,83.93049621582031,-0.0007360850460827351,145.37644577026367,-321.128317502743,-20.157505533980725
동대문구,3,123,40000.0,-340.9979221553106,0.00010660768020898104,0.0,0.1,-0.5584673106670379,0.06969797611236572,0.0001,631.5950927734375,-0.0002689509652554989,1042.4751098632812,-321.128317502743,-19.869604652567602
동대문구,3,123,60000.0,-346.16412956672525,3.0616181902587414e-05,0.0,0.1,-0.7370254456996918,0.24807429313659668,0.0001,943.9888305664062,0.00017365980893373488,1976.1918090820313,-321.128317502743,-25.035812063982235
동대문구,3,123,80000.0,-341.0230077353321,0.0003367199678905308,0.0,0.1,-0.5475168287754059,0.8967623114585876,0.0001,4.875521659851074,-0.0010004887357354165,16.057527351379395,-321.128317502743,-19.894690232589085
동대문구,3,123,100000.0,-341.76473493931053,2.3560132831335068e-06,0.0,0.1,-0.767780888080597,0.37068480253219604,0.0001,554.7953491210938,-0.0001271691173315048,1395.5211547851563,-321.128317502743,-20.636417436567513
동대문구,3,123,120000.0,-340.37388305525786,5.8490666560828686e-05,0.0,0.1,-0.4284434258937836,0.9584389925003052,0.0001,13.053811073303223,-0.0009042796678841114,37.21468296051025,-321.128317502743,-19.245565552514847
동대문구,3,123,140000.0,-338.92528692992715,4.282500594854355e-05,0.0,0.1,-0.7305206716060638,0.5871371030807495,0.0001,803.1627807617188,0.0003132358193397522,1731.396337890625,-321.128317502743,-17.796969427184138
동대문구,3,123,160000.0,-324.9947120075369,0.00044909154530614614,0.0,0.1,-0.5736150085926056,0.5956752300262451,0.0001,13.552949905395508,-0.002011333731934428,40.7398193359375,-321.128317502743,-3.8663945047939023
동대문구,3,123,170000.0,-319.45480103152767,0.0003204686800017953,0.0,0.1,-0.6659443318843842,0.7112958431243896,0.0001,251.7834930419922,0.0006539490073919296,743.0248809814453,-321.128317502743,1.6735164712153505
동대문구,3,42,20000.0,-314.8661891278425,2.0347069948911667e-06,0.0,0.1,-0.6902911365032196,0.03782576322555542,0.0001,194.4951934814453,-0.00010721851140260696,459.87493591308595,-321.128317502743,6.262128374900499
동대문구,3,42,40000.0,-333.786632955038,2.406095154583454e-05,0.0,0.1,-0.7236498117446899,0.3339518904685974,0.0001,115.18933868408203,-0.0006727651692926883,257.0337615966797,-321.128317502743,-12.658315452294971
동대문구,3,42,60000.0,-336.0473561453973,7.316167466342449e-05,0.0,0.1,-0.7117446899414063,0.5196144580841064,0.0001,71.94198608398438,-0.0004556272178888321,169.7955551147461,-321.128317502743,-14.9190386426543
