algorithm,districts,best_win_districts,final_win_districts,mean_best_delta,median_best_delta,mean_final_delta,mean_best_reward,mean_final_reward
A2C,25,17,17,16.85405591263425,12.981990816283997,15.02166835691847,-705.5847440873658,-707.4171316430816
REINFORCE,25,13,9,-0.7502643047563106,3.9039576121315918,-27.41243223752463,-723.1890643047564,-749.8512322375245
PPO,25,13,10,-3.5075576818863157,3.908601894264166,-35.65119896635269,-725.9463576818863,-758.0899989663527
DQN,25,0,0,-47.0991229129888,-47.76952346039957,-60.85143832715665,-769.5379229129888,-783.2902383271565
BANDIT,25,7,1,-33.96309777985533,-13.017516388346877,-57.133896814931795,-756.4018977798554,-779.5726968149319
