algorithm,district,baseline_reward,best_reward,final_reward,best_delta,final_delta,best_step,final_step,n_eval_points,history_path,station_count,active_station_count,demand_volume,forecast_rows,forecast_station_count,forecast_station_coverage,forecast_mae_rent,forecast_mae_return
REINFORCE,동대문구,-473.82,-441.5519656112605,-441.5519656112605,32.268034388739466,32.268034388739466,100.0,500.0,11,logs/reinforce_interactive_reinforce_동대문구/history.npy,110,91,2537854.0,4784052,91,0.8272727272727273,,
REINFORCE,동작구,-173.98,-183.04945710810924,-183.04945710810924,-9.069457108109248,-9.069457108109248,500.0,500.0,11,logs/reinforce_interactive_reinforce_동작구/history.npy,90,73,1326417.0,3837172,73,0.8111111111111111,,
REINFORCE,마포구,-760.25,-815.1958638107386,-826.3029248336904,-54.945863810738615,-66.05292483369044,300.0,500.0,11,logs/reinforce_interactive_reinforce_마포구/history.npy,146,122,3506436.0,6413662,122,0.8356164383561644,,
REINFORCE,서대문구,-191.43,-203.88293766427995,-204.16493300009083,-12.452937664279943,-12.73493300009082,150.0,500.0,11,logs/reinforce_interactive_reinforce_서대문구/history.npy,96,80,1318854.0,4205120,80,0.8333333333333334,,
REINFORCE,서초구,-288.84,-263.762930659099,-263.762930659099,25.077069340900948,25.077069340900948,250.0,500.0,11,logs/reinforce_interactive_reinforce_서초구/history.npy,171,143,2137382.0,7517081,143,0.8362573099415205,,
REINFORCE,성동구,-863.68,-840.7902813478933,-905.5800969648574,22.889718652106694,-41.900096964857426,50.0,500.0,11,logs/reinforce_interactive_reinforce_성동구/history.npy,117,96,2779995.0,5046816,96,0.8205128205128205,,
REINFORCE,성북구,-154.26,-160.49824190419355,-160.49824190419355,-6.238241904193558,-6.238241904193558,150.0,500.0,11,logs/reinforce_interactive_reinforce_성북구/history.npy,104,83,1535431.0,4363061,83,0.7980769230769231,,
REINFORCE,송파구,-1988.42,-1943.3282453329914,-1943.3282453329914,45.09175466700867,45.09175466700867,50.0,500.0,11,logs/reinforce_interactive_reinforce_송파구/history.npy,245,216,6877106.0,11354256,216,0.8816326530612245,,
REINFORCE,양천구,-1511.21,-1434.3223795622366,-1652.9017682125163,76.88762043776342,-141.6917682125163,50.0,500.0,11,logs/reinforce_interactive_reinforce_양천구/history.npy,128,111,4612053.0,5835159,111,0.8671875,,
REINFORCE,영등포구,-2440.1,-2447.7557333068303,-2571.555551821776,-7.655733306830371,-131.45555182177623,150.0,500.0,11,logs/reinforce_interactive_reinforce_영등포구/history.npy,202,177,6793154.0,9304182,177,0.8762376237623762,,
