setting,mean_best_reward,mean_final_reward,mean_best_delta,median_best_delta,mean_final_delta,wins_best,wins_final
A2C Top-K=12,-815.5653011108556,-827.3607901829465,24.92832638201139,18.491038577334677,13.13283730992032,18,16
A2C Top-K=6,-818.1499869018993,-826.7580596005514,22.343640590967663,16.98547623710317,13.73556789231557,17,16
