algorithm,districts,best_win_districts,final_win_districts,mean_best_delta,median_best_delta,mean_final_delta,mean_best_reward,mean_final_reward
A2C,25,17,17,16.85405591263425,12.981990816283997,15.02166835691847,-705.5847440873658,-707.4171316430816
REINFORCE,25,13,9,-0.7502643047563106,3.903957612131592,-27.41243223752463,-723.1890643047564,-749.8512322375245
PPO,25,13,10,-3.5075576818863157,3.908601894264166,-35.65119896635269,-725.9463576818863,-758.0899989663527
DQN,25,2,0,-19.120882490136772,-19.90885906247169,-49.98323133501483,-741.5596824901368,-772.4220313350147
